review_text,car_model,rating,year
"The acceleration is incredible and handling is precise. Best car I've ever owned!",Tesla Model 3,5,2023
"Fuel economy is disappointing for a hybrid. Interior feels cheap.",Toyota Prius,3,2022
"Great safety features and comfortable seats for long drives.",Honda CR-V,4,2023
"The infotainment system is slow and crashes frequently.",BMW 3 Series,2,2021
"Excellent value for money. Maintenance costs are lower than expected.",Hyundai Elantra,5,2023
"Engine noise is loud at highway speeds, but overall a reliable car.",Subaru Outback,3,2022
"Love the design and technology package. Apple CarPlay works perfectly.",Mercedes C-Class,4,2023
"Back seats are cramped. Not suitable for tall passengers.",Ford Mustang,2,2022
"Smooth ride and great fuel efficiency. Perfect for city driving.",Honda Civic,5,2023
"Dealership service was poor, but the car itself is decent.",Chevrolet Malibu,3,2022